BW or Color,Budget,Currency,Genre,MPAA,Month of Release,Rating,Runtime,Title,Year
Color,1000000,RUR,DramaMysterySci-Fi,,September,8.1,115,Solaris,1972
Color,,,CrimeDramaMysteryThriller,,March,8.1,105,Le Samouraï,1967
Color,3200000,$,CrimeDrama,,November,8.1,127,Cool Hand Luke,1967
Black and White,,,DramaThriller,,March,8.1,85,Persona,1966
Black and White,1000000,RUR,BiographyDramaHistory,,September,8.1,183,Andrei Rublev,1966
Black and White,800000,$,DramaWar,,January,8.1,121,The Battle of Algiers,1966
Black and White,,,DramaFantasy,,August,8.1,95,The Exterminating Angel,1962
Black and White,980000,$,DramaHorrorThriller,,October,8.1,134,What Ever Happened to Baby Jane?,1962
Black and White,,,ActionComedyCrimeDramaThriller,,July,8.1,96,Sanjuro,1962
Black and White,3200000,$,DramaWestern,,April,8.1,113,The Man Who Shot Liberty Valance,1962
Black and White,,,DramaWar,,September,8.1,95,Ivan's Childhood,1962
Black and White,,,Drama,,November,8.1,89,The Virgin Spring,1960
Black and White,,,BiographyDramaHistory,,August,8.1,128,Inherit the Wind,1960
Black and White,,,CrimeDrama,,April,8.1,99,The 400 Blows,1959
Color,15000000,$,AdventureDramaHistory,,April,8.1,222,Ben-Hur,1959
Black and White,,,AdventureDrama,,July,8.1,110,The Hidden Fortress,1958
Black and White,3400000,$,DramaFilm-Noir,,July,8.1,96,Sweet Smell of Success,1957
Black and White,,,Drama,,July,8.1,117,Nights of Cabiria,1957
Black and White,,,DramaHistory,,July,8.1,110,Throne of Blood,1957
Color,3000000,$,AdventureDramaWar,PG,December,8.1,161,The Bridge on the River Kwai,1957
Black and White,,,CrimeDramaThriller,,July,8.1,118,Rififi,1955
Black and White,910000,$,CrimeDramaThriller,,Alternate,8.1,108,On the Waterfront,1954
Black and White,,,CrimeDramaHorrorMysteryThriller,,November,8.1,117,Diabolique,1955
Black and White,,,AdventureDramaThriller,,February,8.1,153,The Wages of Fear,1953
Black and White,1800000,$,DramaFilm-Noir,,July,8.1,111,Ace in the Hole,1951
Black and White,1300000,$,ActionCrimeDramaFilm-Noir,,Trivia,8.1,114,White Heat,1949
Black and White,,,Film-NoirMysteryThriller,,May,8.1,104,The Third Man,1949
Color,500000,GBP,DramaMusicRomance,,September,8.1,135,The Red Shoes,1948
Black and White,2100000,$,DramaRomanceWar,,May,8.1,170,The Best Years of Our Lives,1946
Black and White,,,ComedyDramaRomance,,Taglines,8.1,99,The Shop Around the Corner,1940
Black and White,1288000,$,DramaMysteryRomanceThriller,,Taglines,8.1,130,Rebecca,1940
Black and White,800000,$,DramaHistory,,March,8.1,108,The Grapes of Wrath,1940
Black and White,1900000,$,ComedyDrama,,October,8.1,120,Mr. Smith Goes to Washington,1939
Color,3977000,$,DramaHistoryRomanceWar,,June,8.1,226,Gone with the Wind,1939
Black and White,,,DramaWar,,Taglines,8.1,94,La Grande Illusion,1937
Black and White,325000,$,ComedyRomance,,February,8.1,65,It Happened One Night,1934
Black and White,1200000,$,DramaWar,,Taglines,8.1,101,All Quiet on the Western Front,1930
Black and White,,,BiographyDramaHistory,,November,8.1,60,The Passion of Joan of Arc,1928
Black and White,900000,$,ComedyRomance,,Taglines,8.1,72,The Circus,1928
Black and White,200000,$,DramaRomance,,Taglines,8.1,79,Sunrise,1927
Black and White,750000,$,ActionAdventureComedyDramaWar,,January,8.1,78,The General,1926
Black and White,18000,$,FantasyHorrorMysteryThriller,,February,8.1,73,The Cabinet of Dr. Caligari,1920
Color,,,ComedyDrama,,October,8.0,124,Badhaai Ho,2018
